Tempo	Nome do Dispositivo	Tipo	PID	Marca	Mensagem
07-14 23:00:17.005	Samsung SM-S918B	Info	1791	sensors-hal	ssc_qmi:36, ssc_qmi
07-14 23:00:17.006	Samsung SM-S918B	Info	1791	sensors-hal	send_request:330, send_request start this=0xb40000738ce27e00x 
07-14 23:00:17.006	Samsung SM-S918B	Info	1791	sensors-hal	send_sync_sensor_request:531, send_sync_sensor_request before send_request for light_cct with SUID low=17242558634497898280 high=6270869527188043453
07-14 23:00:17.006	Samsung SM-S918B	Info	1791	sensors-hal	send_sync_sensor_request:521, send sync request
07-14 23:00:17.005	Samsung SM-S918B	Info	1791	sensors-hal	register_cb:321, register_cb End with succes
07-14 23:00:17.005	Samsung SM-S918B	Info	1791	sensors-hal	register_cb:305, register_cb start this=0xb40000738ce27e00x
07-14 23:00:17.005	Samsung SM-S918B	Error	1739	minksocket	MinkIPC_QRTR_Service: client with node 1 port 5dcb went down
07-14 23:00:17.005	Samsung SM-S918B	Error	1739	minksocket	MinkIPC_QRTR_Service: client with node 1 port 5dcb went down
07-14 23:00:17.004	Samsung SM-S918B	Error	1739	minksocket	MinkIPC_QRTR_Service: client with node 1 port 5dca went down
07-14 23:00:17.004	Samsung SM-S918B	Error	1739	minksocket	MinkIPC_QRTR_Service: client with node 1 port 5dca went down
07-14 23:00:17.003	Samsung SM-S918B	Error	1739	minksocket	MinkIPC_QRTR_Service: client with node 1 port 5dc9 went down
07-14 23:00:17.002	Samsung SM-S918B	Error	1739	minksocket	MinkIPC_QRTR_Service: client with node 1 port 5dc9 went down
07-14 23:00:16.999	Samsung SM-S918B	Info	1791	sensors-hal	acquire_ssc_interface:114, acquire_ssc_interface with sensor_id 13 , conn_type 3 
07-14 23:00:16.999	Samsung SM-S918B	Info	1791	sensors-hal	activate:285, com.samsung.sensor.light_cct/1511 en=1
07-14 23:00:16.999	Samsung SM-S918B	Info	1791	sensors-hal	batch:369, com.samsung.sensor.light_cct/1511, period=200000000, max_latency=0 request completed
07-14 23:00:16.999	Samsung SM-S918B	Info	1791	sensors-hal	set_config:61, sample_period_ns is adjusted to 200000000 based on min/max delay_ns
07-14 23:00:16.912	Samsung SM-S918B	Info	1791	sensors-hal	handle_sns_client_event:574, [0][17098] accel_sample [-0.163,  0.586,  9.858] 192862840597561
07-14 23:00:16.807	Samsung SM-S918B	Error	2712	TaskPersister	File error accessing recents directory (directory doesn't exist?).
07-14 23:00:16.734	Samsung SM-S918B	Debug	2712	InetDiagMessage	Destroyed live tcp sockets for uids={5278} in 6ms
07-14 23:00:16.734	Samsung SM-S918B	Debug	2712	InetDiagMessage	Destroyed 0 sockets, proto=IPPROTO_TCP, family=AF_INET6, states=14
07-14 23:00:16.731	Samsung SM-S918B	Debug	2712	InetDiagMessage	Destroyed 0 sockets, proto=IPPROTO_TCP, family=AF_INET, states=14
07-14 23:00:16.728	Samsung SM-S918B	Debug	2712	InetDiagMessage	Destroyed live tcp sockets for uids={10220} in 5ms
