Tempo	Nome do Dispositivo	Tipo	PID	Marca	Mensagem
06-11 01:40:58.506	Samsung SM-S918B	Debug	25770	CellBroadcastReceiver	update supported roaming operator as 
06-11 01:40:59.426	Samsung SM-S918B	Debug	2792	BSOHChargingDataCollector	primeBatt readVoltage from sysFsBattVolt,  path : /sys/class/power_supply/battery/batt_voltage_now
06-11 01:40:59.426	Samsung SM-S918B	Debug	2792	BSOHChargingDataCollector	performBatteryWork battery com.android.server.bsoh.device.PrimeBattery@49370b8
06-11 01:40:59.426	Samsung SM-S918B	Debug	2792	BSOHChargingDataCollector	performBatteryWork++
06-11 01:40:59.362	Samsung SM-S918B	Info	1767	HYPER-HAL	[RequestManager.cpp]acquire(): Acquired ID : 24328803  [6972 / 3]    HINT :      list : [CPUMaxFreq / 2841600] 
 BSOH Sys-servce ... 
06-11 01:40:59.362	Samsung SM-S918B	Info	6972	SemDvfsHyPerManager	acquire hyper - SIOP_ARM_MAX/6972@3, type = 301993986
06-11 01:40:59.361	Samsung SM-S918B	Info	6972	n2	limitCPUFreq:: freq = 2841600
06-11 01:40:59.354	Samsung SM-S918B	Info	1767	HYPER-HAL	[RequestManager.cpp]releaseLocked(): Released ID : 24468533
06-11 01:40:59.337	Samsung SM-S918B	Error	1741	minksocket	MinkIPC_QRTR_Service: client with node 1 port 4d86 went down
06-11 01:40:59.337	Samsung SM-S918B	Error	1741	minksocket	MinkIPC_QRTR_Service: client with node 1 port 4d86 went down
06-11 01:40:59.335	Samsung SM-S918B	Error	1741	minksocket	MinkIPC_QRTR_Service: client with node 1 port 4d85 went down
06-11 01:40:59.335	Samsung SM-S918B	Error	1741	minksocket	MinkIPC_QRTR_Service: client with node 1 port 4d85 went down
06-11 01:40:59.334	Samsung SM-S918B	Error	1741	minksocket	MinkIPC_QRTR_Service: client with node 1 port 4d84 went down
06-11 01:40:59.333	Samsung SM-S918B	Error	1741	minksocket	MinkIPC_QRTR_Service: client with node 1 port 4d84 went down
06-11 01:40:59.332	Samsung SM-S918B	Error	1741	minksocket	MinkIPC_QRTR_Service: client with node 1 port 4d83 went down
06-11 01:40:59.332	Samsung SM-S918B	Error	1741	minksocket	MinkIPC_QRTR_Service: client with node 1 port 4d83 went down
06-11 01:40:59.273	Samsung SM-S918B	Info	1827	sehhealth-service	updateLrpSysfs: write: 349
06-11 01:40:59.270	Samsung SM-S918B	Error	1827	BatteryDump	!@new_battery_dump : 4208,129,375,550,91,345,333,377,345,0,349,378,0,Charging,NO_CHARGING,Normal,Good,USB,1,Normal,0,0,9289,0x8000,0x10000,0x0,0,0,0000,0000,00000000,0,0,0,0,710,4201,9152,1000,0,
06-11 01:40:59.264	Samsung SM-S918B	Debug	1878	HeatmapThread	Updated plugType via uevent: 2
06-11 01:40:59.215	Samsung SM-S918B	Debug	1883	SurfaceFlinger	GPIS:: requestGPISForClientComposition
06-11 01:40:59.196	Samsung SM-S918B	Info	4826	HoneySpace.StatusIconTracker	invokeEvent() called with: event = Mobile(bundle=Bundle[mParcelledData.dataSize=256])
06-11 01:40:59.112	Samsung SM-S918B	Debug	1152	io_stats	!@ Write_top(KB): roid.honeyboard(7746) 80 tes.antimalware(8452) 32 kworker/u16:3(4232) 12
06-11 01:40:59.112	Samsung SM-S918B	Debug	1152	io_stats	!@ Read_top(KB): ndroid.systemui(4261) 16
